airport_code,latitude,longitude,altitude,timezone,dst,olson_timezone
,50.2735,-116.14,358,-7.0,A,America/Edmonton
SCT,12.630672,53.905778,146,3.0,U,Asia/Aden
,18.719311,50.836911,908,3.0,U,Asia/Aden
NAV,38.771867,34.53455,3100,2.0,E,Europe/Istanbul
EZE,-34.822222,-58.535833,67,-3.0,N,America/Cordoba
EBL,36.237611,43.963158,1341,3.0,U,Asia/Baghdad
EMD,-23.5675,148.179167,624,10.0,O,Australia/Brisbane
,37.5354,23.4346,68,2.0,E,Europe/Athens
KIX,34.4347222,135.244167,49,9.0,U,Asia/Tokyo
JRB,40.701214,-74.009028,7,-5.0,A,America/New_York
TAG,9.66408056,123.853247,38,8.0,N,Asia/Manila
JAV,69.23444,-51.05111,2,-3.0,E,America/Godthab
JCH,68.833336,-51.0,2,-3.0,E,America/Godthab
JEG,68.7,-52.75,2,-3.0,E,America/Godthab
PMI,39.55361,2.727778,24,1.0,E,Europe/Madrid
DRW,-12.4083333,130.87266,103,9.5,N,Australia/Darwin
URT,9.1325,99.135556,286,7.0,U,Asia/Bangkok
NYU,21.173833266,94.9246666,290,6.5,U,Asia/Rangoon
MPH,11.9214999,121.953,20,8.0,N,Asia/Manila
NSB,25.767,-79.25,0,-5.0,U,America/Nassau
TKA,62.3205,-150.093694,358,-9.0,A,America/Anchorage
GZM,36.027222,14.272778,300,1.0,E,Europe/Malta
HVN,41.26375,-72.886806,14,-5.0,A,America/New_York
AVL,35.436194,-82.541806,2165,-5.0,A,America/New_York
GSO,36.09775,-79.937306,925,-5.0,A,America/New_York
FSD,43.582014,-96.741914,1429,-6.0,A,America/Chicago
AYQ,-25.186111,130.975556,1626,9.5,N,Australia/Darwin
MHT,42.932556,-71.435667,266,-5.0,A,America/New_York
APF,26.152619,-81.775294,8,-5.0,A,America/New_York
RDN,5.76528,103.007,10,8.0,N,Asia/Kuala_Lumpur
SDF,38.1740858,-85.7364989,501,-5.0,A,America/New_York
CHO,38.138639,-78.452861,639,-5.0,A,America/New_York
ROA,37.325472,-79.975417,1175,-5.0,A,America/New_York
LEX,38.0365,-84.605889,979,-5.0,A,America/New_York
EVV,38.036997,-87.532364,418,-6.0,A,America/Chicago
ABQ,35.0402222,-106.6091944,5355,-7.0,A,America/Denver
BZN,45.777643,-111.160151,4500,-7.0,A,America/Denver
BIL,45.80921,-108.537654,3652,-7.0,A,America/Denver
BTM,45.954806,-112.497472,5550,-7.0,A,America/Denver
TVC,44.741445,-85.582235,624,-5.0,A,America/New_York
FRS,16.913819,-89.866383,427,-6.0,U,America/Guatemala
BHB,44.4497689,-68.3615653,83,-5.0,A,America/New_York
RKD,44.0601111,-69.0992303,56,-5.0,A,America/New_York
JAC,43.607333333,-110.73775,6451,-7.0,A,America/Denver
RFD,42.1953611,-89.0972222,742,-6.0,A,America/Chicago
DME,55.408611,37.906111,588,4.0,N,Europe/Moscow
SYX,18.302897,109.412272,92,8.0,U,Asia/Chongqing
MFN,-44.67333,167.92333,10,12.0,Z,Pacific/Auckland
TSS,40.7425,-73.971944,10,-5.0,A,America/New_York
LJG,26.883333,100.23333,7923,8.0,U,Asia/Chongqing
GSP,34.895556,-82.218889,964,-5.0,A,America/New_York
QKL,50.9425,6.958056,100,1.0,E,Europe/Berlin
ZWS,48.783611,9.181667,200,1.0,E,Europe/Berlin
BMI,40.477111,-88.915917,871,-6.0,A,America/Chicago
GPT,30.407278,-89.070111,28,-6.0,A,America/Chicago
AZO,42.234875,-85.552058,874,-5.0,A,America/New_York
TOL,41.586806,-83.807833,684,-5.0,A,America/New_York
FWA,40.978472,-85.195139,815,-5.0,A,America/New_York
DEC,39.834564,-88.865689,682,-6.0,A,America/Chicago
CID,41.884694,-91.710806,869,-6.0,A,America/Chicago
LSE,43.878986,-91.256711,654,-6.0,A,America/Chicago
CWA,44.772726,-89.646635,840,-6.0,A,America/Chicago
